lfhf,pnn50,sloc,ted,elapsed-seconds,label
5.89,0.13,17,0,22,1
5.9,0.13,17,0,23,1
5.91,0.14,17,0,24,1
5.9,0.15,17,0,25,1
5.89,0.16,17,0,26,1
5.88,0.16,17,0,27,1
5.85,0.16,17,0,28,1
5.8,0.16,17,0,29,1
5.78,0.17,17,0,30,1
5.71,0.17,17,0,31,1
5.67,0.16,17,0,32,1
5.64,0.16,17,0,33,1
5.6,0.16,17,0,34,1
5.52,0.15,17,0,35,1
5.5,0.15,17,0,36,1
5.39,0.15,17,0,38,1
5.35,0.15,17,0,39,1
5.3,0.13,17,0,40,1
5.28,0.12,17,0,41,1
5.26,0.12,17,0,42,1
5.26,0.11,17,0,43,1
5.27,0.12,17,0,44,1
5.28,0.12,17,0,45,1
5.32,0.11,17,0,46,1
5.35,0.11,17,0,47,1
5.39,0.1,17,0,48,1
5.44,0.1,17,0,49,1
5.55,0.1,17,0,50,1
5.61,0.1,17,0,51,1
5.67,0.1,17,0,52,1
5.75,0.11,17,0,53,1
5.93,0.13,17,0,55,1
6.13,0.14,17,0,56,1
6.36,0.14,17,0,57,1
6.48,0.14,17,0,58,1
6.59,0.14,17,0,59,1
6.72,0.15,17,0,60,1
7.01,0.15,17,0,61,1
7.15,0.15,17,0,62,1
7.46,0.15,17,0,63,1
7.61,0.15,17,0,64,1
7.77,0.15,17,0,65,1
7.94,0.16,17,0,66,1
8.27,0.16,17,0,67,1
8.44,0.16,17,0,68,1
8.6,0.16,17,0,69,1
8.77,0.16,17,0,70,1
9.09,0.16,17,0,71,1
9.24,0.16,17,0,72,1
9.31,0.16,17,0,73,1
9.45,0.16,17,0,74,1
9.72,0.16,17,0,75,1
9.9,0.16,17,0,76,1
10.06,0.17,17,0,77,1
10.07,0.18,17,0,78,1
10.26,0.18,17,0,79,1
10.33,0.18,17,0,80,1
10.4,0.18,17,0,81,1
10.49,0.18,17,0,82,1
10.42,0.16,17,0,83,1
10.5,0.16,17,0,84,1
10.51,0.16,17,0,85,1
10.45,0.16,17,0,86,1
10.35,0.16,17,0,87,1
10.26,0.16,17,0,88,1
10.22,0.16,17,0,89,1
10.05,0.16,17,0,90,1
9.82,0.16,17,0,0,1
9.68,0.16,17,0,1,1
9.53,0.15,17,0,2,1
9.38,0.15,17,0,3,1
9.03,0.16,17,0,4,1
8.85,0.16,17,0,5,1
8.47,0.15,17,0,6,1
8.26,0.14,17,0,7,1
7.93,0.13,17,0,8,1
7.7,0.14,17,0,9,1
7.47,0.14,17,0,10,1
7.01,0.15,17,0,11,1
6.79,0.16,17,0,12,1
6.58,0.15,17,0,13,1
6.18,0.15,17,0,14,1
5.98,0.15,17,0,15,1
5.61,0.15,17,0,16,1
5.43,0.15,17,0,17,1
5.35,0.15,17,0,18,1
5.07,0.15,17,0,19,1
4.64,0.15,17,0,20,1
4.49,0.15,17,0,21,1
4.35,0.15,17,0,22,1
4.11,0.15,17,0,23,1
4.0,0.15,17,0,24,1
3.9,0.15,17,0,25,1
3.67,0.17,17,0,26,1
3.6,0.16,17,0,27,1
3.53,0.16,17,0,28,1
3.48,0.17,17,0,29,1
3.39,0.17,17,0,30,1
3.36,0.18,17,0,31,1
3.3,0.18,17,0,32,1
3.28,0.18,17,0,33,1
3.27,0.18,17,0,34,1
3.27,0.18,17,0,35,1
3.26,0.18,17,0,36,1
3.28,0.17,17,0,37,1
3.29,0.16,17,0,38,1
3.33,0.14,17,0,39,1
3.37,0.14,17,0,41,1
3.42,0.14,17,0,42,1
3.48,0.13,17,0,43,1
3.51,0.13,17,0,44,1
3.54,0.12,17,0,45,1
3.6,0.14,18,2,0,1
